[stage1] city=porto trajs=200000 roads=154144 batch=32 layers=4 bf16=True device=cuda
epoch 1 step 008300  total 0.2546  mgm 0.0032  contrast 0.2464  next 0.0049  lr 2.51e-04
epoch 1 step 008350  total 0.2660  mgm 0.0014  contrast 0.2628  next 0.0018  lr 2.50e-04
epoch 1 step 008400  total 0.2801  mgm 0.0022  contrast 0.2739  next 0.0040  lr 2.50e-04
epoch 1 step 008450  total 0.2624  mgm 0.0020  contrast 0.2574  next 0.0030  lr 2.49e-04
epoch 1 step 008500  total 0.2529  mgm 0.0022  contrast 0.2476  next 0.0030  lr 2.48e-04
epoch 1 step 008550  total 0.2536  mgm 0.0026  contrast 0.2455  next 0.0055  lr 2.48e-04
epoch 1 step 008600  total 0.2759  mgm 0.0039  contrast 0.2669  next 0.0050  lr 2.47e-04
epoch 1 step 008650  total 0.2328  mgm 0.0027  contrast 0.2262  next 0.0040  lr 2.47e-04
epoch 1 step 008700  total 0.2250  mgm 0.0084  contrast 0.2075  next 0.0091  lr 2.46e-04
epoch 1 step 008750  total 0.2391  mgm 0.0018  contrast 0.2345  next 0.0027  lr 2.46e-04
epoch 1 step 008800  total 0.2860  mgm 0.0022  contrast 0.2811  next 0.0027  lr 2.45e-04
epoch 1 step 008850  total 0.2238  mgm 0.0029  contrast 0.2165  next 0.0044  lr 2.44e-04
epoch 1 step 008900  total 0.2648  mgm 0.0023  contrast 0.2597  next 0.0028  lr 2.44e-04
epoch 1 step 008950  total 0.2748  mgm 0.0032  contrast 0.2658  next 0.0058  lr 2.43e-04
epoch 1 step 009000  total 0.2917  mgm 0.0023  contrast 0.2861  next 0.0033  lr 2.43e-04
epoch 1 step 009050  total 0.2178  mgm 0.0096  contrast 0.1991  next 0.0091  lr 2.42e-04
epoch 1 step 009100  total 0.2537  mgm 0.0031  contrast 0.2468  next 0.0038  lr 2.41e-04
epoch 1 step 009150  total 0.2523  mgm 0.0013  contrast 0.2486  next 0.0025  lr 2.41e-04
epoch 1 step 009200  total 0.2503  mgm 0.0094  contrast 0.2166  next 0.0243  lr 2.40e-04
epoch 1 step 009250  total 0.2497  mgm 0.0054  contrast 0.2372  next 0.0071  lr 2.40e-04
epoch 1 step 009300  total 0.2590  mgm 0.0020  contrast 0.2530  next 0.0040  lr 2.39e-04
epoch 1 step 009350  total 0.2445  mgm 0.0036  contrast 0.2374  next 0.0034  lr 2.38e-04
epoch 1 step 009400  total 0.2298  mgm 0.0044  contrast 0.2216  next 0.0038  lr 2.38e-04
epoch 1 step 009450  total 0.2429  mgm 0.0058  contrast 0.2328  next 0.0043  lr 2.37e-04
epoch 1 step 009500  total 0.2729  mgm 0.0015  contrast 0.2689  next 0.0025  lr 2.37e-04
epoch 1 step 009550  total 0.2572  mgm 0.0026  contrast 0.2506  next 0.0039  lr 2.36e-04
epoch 1 step 009600  total 0.2597  mgm 0.0021  contrast 0.2549  next 0.0027  lr 2.35e-04
epoch 1 step 009650  total 0.2251  mgm 0.0121  contrast 0.2023  next 0.0107  lr 2.35e-04
